State,Year,GSP,HealthExp,
Australian Capital Territory,2011,32182,3225.435097,
Australian Capital Territory,2012,33542,3161.013348,
Australian Capital Territory,2013,34647,3168.130987,
Australian Capital Territory,2014,34727,3284.790116,
Australian Capital Territory,2015,35714,3539.513491,
Australian Capital Territory,2016,37400,3577.20991,
Australian Capital Territory,2017,38912,3646.928926,
Australian Capital Territory,2018,40505,3851.574396,
Australian Capital Territory,2019,42197,4130.850169,
Australian Capital Territory,2020,43759,4479.860001,
Australian Capital Territory,2021,45467,4822.425065,
New South Wales,2011,553440,53966.78364,
New South Wales,2012,566882,56279.9045,
New South Wales,2013,579398,57123.31733,
New South Wales,2014,593009,58906.37127,
New South Wales,2015,609333,60068.06993,
New South Wales,2016,631961,60787.37591,
New South Wales,2017,648206,62523.60258,
New South Wales,2018,662829,65519.47193,
New South Wales,2019,680189,65817.72616,
New South Wales,2020,673316,69625.47274,S
New South Wales,2021,688693,72298.39323,
Northern Territory,2011,24414,2682.536243,
Northern Territory,2012,25391,2569.366325,
Northern Territory,2013,27120,2446.571498,
Northern Territory,2014,27450,2441.674226,
Northern Territory,2015,27816,2647.885736,
Northern Territory,2016,28367,2899.529273,
Northern Territory,2017,28782,2916.606732,
Northern Territory,2018,29356,2731.22318,
Northern Territory,2019,29020,2784.876641,
Northern Territory,2020,30758,2840.621492,
Northern Territory,2021,30253,3169.22845,
Queensland,2011,342795,36078.63995,
Queensland,2012,362790,36215.39827,
Queensland,2013,373159,37920.98228,
Queensland,2014,380604,38485.16521,
Queensland,2015,383818,40513.20507,
Queensland,2016,392991,41843.70641,
Queensland,2017,403260,42709.95479,
Queensland,2018,419368,42964.08276,
Queensland,2019,423285,44034.21956,
Queensland,2020,418498,46797.45094,
Queensland,2021,430157,49067.13373,
South Australia,2011,107659,13258.81674,
South Australia,2012,108761,13027.39606,
South Australia,2013,109578,13629.60076,
South Australia,2014,110004,13652.54785,
South Australia,2015,111249,14011.60692,
South Australia,2016,111865,17040.5808,
South Australia,2017,114015,14612.89834,
South Australia,2018,116570,14929.53874,
South Australia,2019,117925,15234.55073,
South Australia,2020,116749,16077.77291,
South Australia,2021,122455,16914.32631,
Tasmania,2011,30250,3952.506514,
Tasmania,2012,30849,3879.305209,
Tasmania,2013,30685,3962.41543,
Tasmania,2014,31155,4047.846642,
Tasmania,2015,31515,4598.624025,
Tasmania,2016,32085,4603.005488,
Tasmania,2017,32473,4745.381215,
Tasmania,2018,33667,5132.497053,
Tasmania,2019,34897,5079.427903,
Tasmania,2020,34931,5457.775192,
Tasmania,2021,36598,5896.268663,
Victoria,2011,396253,41808.8352,
Victoria,2012,405822,41955.22607,
Victoria,2013,409802,43606.67197,
Victoria,2014,418902,45147.06484,
Victoria,2015,430757,46675.51354,
Victoria,2016,445714,48716.70712,
Victoria,2017,462737,50560.64411,
Victoria,2018,478591,51878.40232,
Victoria,2019,493087,53321.90796,
Victoria,2020,491651,58088.04435,
Victoria,2021,490667,63349.8641,
Western Australia,2011,291562,18072.80072,
Western Australia,2012,315714,18439.79706,
Western Australia,2013,334784,19301.30762,
Western Australia,2014,354070,20097.98791,
Western Australia,2015,362109,20689.45774,
Western Australia,2016,365881,20587.74013,
Western Australia,2017,362200,20949.08159,
Western Australia,2018,370153,22268.36624,
Western Australia,2019,376299,22117.18714,
Western Australia,2020,380717,24226.99106,
Western Australia,2021,393223,25798.091,
